Price,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS
Date,,,,,
2009-07-10,107.15398406982422,109.41987511989394,106.64793645163212,107.51653493577622,12685200
2009-07-13,112.87158966064453,113.1812642079741,109.55583617012141,110.81718082335861,23817800
2009-07-14,113.0377426147461,114.16312767749154,111.84437206857923,112.52413470346015,28813100
2009-07-15,117.26740264892578,117.81121738577478,113.77038553756167,114.81268751242469,21135600
2009-07-16,118.46078491210938,119.32938342250664,116.17223580436162,117.07104112537561,12643600
2009-07-17,118.46078491210938,119.29161626554706,117.46379881290235,117.72814586178292,9617200
2009-07-20,120.87015533447266,121.39886083039893,118.79308897375728,119.14807941921823,12433800
2009-07-21,120.69647979736328,120.85508573560752,118.59675476548438,120.76445377089652,10886500
2009-07-22,121.19496154785156,121.79164110618323,118.8384270736903,119.48043413289922,9499400
2009-07-23,124.9638442993164,125.69648306480404,120.3187739221774,120.99853638349549,12291900
2009-07-24,124.41251373291016,124.62399595556869,122.96989380162628,124.19347116485304,7294400
2009-07-27,123.7704849243164,124.97896443377375,122.35808357350851,124.39738266141737,7613000
2009-07-28,121.25537872314453,122.65268282245455,120.46987489199137,122.58470885652088,10244800
2009-07-29,120.42457580566406,121.58772831059623,119.26141177581233,120.25086069338421,9111300
2009-07-30,122.67533111572266,123.94423600412242,121.38377976538608,121.68589394004853,9415400
2009-07-31,123.3399887084961,123.77050195773191,121.82939487624242,122.63755658354165,7721200
2009-08-03,123.94424438476562,125.59833516152393,123.34000446966726,124.77506418372279,8361800
2009-08-04,124.75241088867188,124.97900230597313,123.0832108818864,123.10586887112471,8808900
2009-08-05,127.3732681274414,127.61496866621027,124.32942255743157,125.19046055819263,9593900
2009-08-06,125.9457778930664,129.11047424603046,125.2357968513615,127.94731038304903,8201800
2009-08-07,123.60429382324219,127.11643020787747,122.90942227889559,127.11643020787747,10771800
2009-08-10,121.11946105957031,123.77811046581341,120.39437066698736,123.26450237004198,8909700
2009-08-11,120.25838470458984,122.52427561871991,120.20550838463323,120.80219944597442,9785100
2009-08-12,123.68739318847656,124.16323383494066,120.5227094470551,120.74928925497713,9842700
2009-08-13,124.23127746582031,124.99413499680175,122.81887542121014,124.80531070100166,8922600
2009-08-14,122.90948486328125,124.16328072352717,121.44420675250208,123.84605734772728,6756800
2009-08-17,118.77046966552734,120.5529712928875,118.73270250532394,120.33394020357848,10146100
2009-08-18,121.21002197265625,121.52724523188894,120.4622855490771,120.59823343521364,8090000
2009-08-19,120.79463958740234,121.22516439478332,119.33692195872752,120.17530206133299,8838900
2009-08-20,122.60740661621094,122.99260407303561,120.92309693941223,120.998619751086,7619200
2009-08-21,123.7654800415039,124.81761108851488,122.63766301006937,123.95471232729597,10417200
2009-08-24,123.0615005493164,125.8469933257449,123.0615005493164,124.40883305201777,9148800
2009-08-25,124.84789276123047,125.120387710484,123.40972048190604,123.62923639787742,9118900
2009-08-26,125.61241149902344,125.96060404917226,123.90932062183016,124.35590612433636,8325600
2009-08-27,124.90847778320312,125.57456772112543,123.56870967255742,125.41561903416515,7890600
2009-08-28,124.4542465209961,125.8394277735949,123.68217582040599,125.55179109988485,7029800
2009-08-31,125.24153137207031,125.33992433057736,122.05485382742813,123.34163137176782,9106500
2009-09-01,121.23731994628906,125.93785425012034,121.05565282325578,124.74190501058017,12446800
2009-09-02,120.0035171508789,122.19861815466456,119.70075017440769,121.20704302442854,10751500
2009-09-03,122.36516571044922,122.81175112439887,120.76804478699266,121.04810486865229,8837800
2009-09-04,123.3567123413086,124.0228135156041,122.13805626551029,122.27429793307842,6220100
2009-09-08,126.57364654541016,126.59635348752113,124.93111228374752,125.08249574776003,10066300
2009-09-09,128.88230895996094,129.10181329637874,126.52825921854193,127.01269333495193,10196500
2009-09-10,132.3641357421875,132.73503501263193,128.77630061713356,129.43482497809825,13488900
2009-09-11,132.23545837402344,134.58950739198175,131.98567048532237,133.8250134658241,11094800
2009-09-14,134.51388549804688,134.65769233594662,131.06985552563592,131.16068332848255,8028100
2009-09-15,133.7190704345703,134.73335245072593,132.81075800891125,134.73335245072593,8398900
2009-09-16,136.14883422851562,136.14883422851562,133.59798684420375,134.59713880530987,8706100
2009-09-17,137.35238647460938,138.51805243503642,135.906648838439,136.1564368763499,9674300
2009-09-18,138.6542510986328,139.23708967276568,136.7392216191593,137.52643426081252,8395300
2009-09-21,138.05630493164062,139.07058720397012,137.31451761081388,137.52645684533582,6368600
2009-09-22,140.42547607421875,140.63741527741766,138.20010289080986,139.1841129341307,7470700
2009-09-23,139.00238037109375,142.30258983130165,139.00238037109375,141.02337853218816,10069600
2009-09-24,138.56344604492188,140.48605252182446,137.1328504372241,139.97133470248332,10982400
2009-09-25,135.8686981201172,138.5936459892489,134.50622418555133,137.89726143950352,12296200
2009-09-28,138.13955688476562,138.3514961028497,135.23295199405146,136.35320379675608,7892200
2009-09-29,138.95701599121094,139.86532840794,137.85947133975418,138.51043068921015,7539300
2009-09-30,139.5399169921875,140.39523922228128,137.62488684320456,139.857825902907,10517900
2009-10-01,135.48277282714844,139.7972673126164,135.18757087682232,139.28254940830544,11044500
2009-10-02,135.9519805908203,137.04952502762384,132.91670029735076,133.56008283970334,9232400
2009-10-05,141.14459228515625,141.280834000559,136.66357269801267,136.83009805005375,9471200
2009-10-06,141.53062438964844,143.39267537997836,139.7291406736056,142.65088796749012,13918900
2009-10-07,144.17984008789062,144.25553761170474,140.78880122775257,141.1748308796352,10579400
2009-10-08,142.43133544921875,145.4590515960051,142.00745703663995,145.2471123897157,11978100
2009-10-09,143.28660583496094,143.62722144145982,142.24204052853668,142.85515093019774,6526300
2009-10-12,143.93002319335938,144.4977198584131,142.93844819970312,144.46744778486357,6189400
2009-10-13,141.7197723388672,142.15122728766354,140.10752189027974,141.0990967447627,11959300
2009-10-14,145.54226684570312,146.54141839261075,144.11923702428322,145.01241900256278,15806700
2009-10-15,142.77952575683594,144.4674742495246,141.69711124460972,142.77194907469695,17834200
2009-10-16,139.55496215820312,142.03768775155567,138.80561002198715,141.29590074556813,12750800
2009-10-19,140.41033935546875,141.38677275208428,138.52558185524154,139.91834009086307,7482000
2009-10-20,140.0016326904297,141.96207658535164,139.32796615106247,140.1757231759318,7387400
2009-10-21,135.68716430664062,140.4104080674955,135.5660643767416,140.18332693046688,11759300
2009-10-22,139.04026794433594,139.22950016451173,135.91414797109005,136.27747059987848,10666200
2009-10-23,136.5197296142578,139.94861742979174,135.52057768266906,139.29765795764726,9221900
2009-10-26,135.77037048339844,138.10171352334575,134.59713960518704,136.6408458879875,9427400
2009-10-27,135.19509887695312,136.32292732601616,134.27920963914988,135.67953300980702,10505700
2009-10-28,130.31289672851562,135.03612619936874,129.9419973682181,134.66523838889094,13586400
2009-10-29,135.17233276367188,135.17233276367188,131.28171958874353,132.13705274182868,9342900
2009-10-30,128.80661010742188,134.4457290034626,128.43571072922586,134.1429620150146,13323700
2009-11-02,129.19264221191406,131.22121803259466,125.1203718555368,129.88145040605167,15802400
2009-11-03,129.8966064453125,130.31291977031574,127.72422357187065,127.90587916836535,11150300
2009-11-04,128.2994842529297,132.15982733710578,127.9361615137741,131.30449374614332,11143300
2009-11-05,131.25148010253906,131.3271776202307,128.0799573880834,129.41971336263293,9017500
2009-11-06,130.02525329589844,131.66778772117377,129.434849642567,130.16150651195446,6274200
2009-11-09,133.65093994140625,133.7871815979893,131.3271627001479,131.46340435673096,10329200
2009-11-10,133.60552978515625,134.5365607442194,132.7047940029399,133.52226713556084,7244700
2009-11-11,136.1337127685547,136.883065238037,134.69554044815595,134.75609616636643,8187800
2009-11-12,135.09664916992188,137.32958682293147,134.5743664492558,136.02010323113672,7404200
2009-11-13,133.79478454589844,135.48274476723245,132.94702764358215,135.40704723674497,7630900
2009-11-16,134.16563415527344,135.77789624755198,133.54494697521264,134.72576564339047,8748500
